case_id,signal_date,source_project,source_issue,event_type,observed_failure,gold_responsible_layer,gold_owner,label_tier,should_abstain,first_bad_known,resolution_known,repositories_in_chain,comments_observed,days_to_resolution,osint_value_signal,source_urls
RADAR-OSINT-001,2023-03-19,dask/dask,10089,nightly upstream dependency CI,"One long-lived bot issue accumulated pandas deprecations, local Dask failures, and changing upstream behavior.",multiple_layers,"mixed: dask/dask and pandas-dev/pandas",B,false,partial,partial,2+,18,47,"Shows that one auto-generated nightly issue can represent several unrelated causes and require manual separation.",https://github.com/dask/dask/issues/10089
RADAR-OSINT-002,2022-01-27,pydata/xarray,6197,nightly upstream dependency CI,"h5netcdf behavior exposed an xarray backend adaptation need.",downstream_project,pydata/xarray,B,false,no,yes,2,1,2,"A dependency change can correctly require adaptation in the downstream project rather than an upstream accusation.",https://github.com/pydata/xarray/issues/6197
RADAR-OSINT-003,2025-09-06,pydata/xarray,10709,nightly CI / external fixture,"Remote netCDF test URL returned 404; initial suspicion pointed toward h5py/h5netcdf.",external_service_or_data,"external Unidata fixture URL; xarray updated test URL",A,false,not_applicable,yes,1 repo + external service,3,1,"Strong confounder case: a red nightly run was not an upstream library regression.",https://github.com/pydata/xarray/issues/10709;https://github.com/pydata/xarray/pull/10713
RADAR-OSINT-004,2026-03-18,pydata/xarray,11242,nightly CI worker crash,"A pytest-xdist worker crashed once and the bot issue closed shortly afterward without diagnosis.",unknown,none,C,true,no,no,1,0,0.02,"Negative benchmark case: the correct output is inconclusive, not a confident attribution.",https://github.com/pydata/xarray/issues/11242
RADAR-OSINT-005,2026-03-29,pydata/xarray,11268,nightly upstream dependency CI,"Initial pandas deprecation wave later changed into a NumPy setup-time deprecation that stopped issue updates.",multiple_layers,pydata/xarray,B,false,no,partial,3,2,82,"Demonstrates issue mutation, multiple causes, and automation blind spots when test collection fails.",https://github.com/pydata/xarray/issues/11268
RADAR-OSINT-006,2025-01-05,pydata/xarray,9922,upstream Zarr release/API change,"A large family of Zarr backend tests failed after upstream API/configuration changes.",downstream_project,pydata/xarray,B,false,release_boundary,yes,2,0 issue comments; review activity on fix PR,1,"A broad failure wave collapsed into one upstream release compatibility change and one merged downstream fix.",https://github.com/pydata/xarray/issues/9922;https://github.com/pydata/xarray/pull/9927
RADAR-OSINT-007,2024-12-28,scikit-learn/scikit-learn,30554,downstream regression after scikit-learn release,"scikit-survival observed changed tree behavior; reporter bisected to scikit-learn PR #29458.",upstream_runtime_or_library,scikit-learn/scikit-learn,A,false,exact_pull_request,yes,2,4,5,"Maintainer praised the reproducer and opened a fix.",https://github.com/scikit-learn/scikit-learn/issues/30554;https://github.com/scikit-learn/scikit-learn/pull/30557
RADAR-OSINT-008,2024-03-13,MNE-Python -> scikit-learn -> SciPy -> OpenBLAS,scikit-learn#28625 / scipy#20294,nightly downstream timeout through transitive native dependency,"Windows ArgKmin hang traveled through three Python projects before exact attribution to OpenBLAS 0.3.26.",shared_dependency,OpenMathLib/OpenBLAS,A,false,exact_commit,yes,4,77,16,"Controlled A/B and adjacent commit tests found the root cause, followed by a merged OpenBLAS fix.",https://github.com/scikit-learn/scikit-learn/issues/28625;https://github.com/scipy/scipy/issues/20294;https://github.com/OpenMathLib/OpenBLAS/pull/4587
RADAR-OSINT-009,2024-12-19,scikit-lego -> scikit-learn -> SciPy,scikit-learn#30512,SciPy release-candidate regression,"A downstream pickle failure exposed a SciPy RC bug that scikit-learn CI missed because the relevant test remained xfailed.",upstream_runtime_or_library,scipy/scipy,A,false,release_candidate,yes,3,8,16,"The report caught a SciPy bug before release and improved downstream CI.",https://github.com/scikit-learn/scikit-learn/issues/30512;https://github.com/scipy/scipy/issues/22143;https://github.com/scikit-learn/scikit-learn/pull/30515
RADAR-OSINT-010,2024-12-19,scikit-learn/scikit-learn,30509,NumPy development regression,"Nightly numerical precision failure reproduced only with NumPy development; git bisect identified NumPy PR #27883.",upstream_runtime_or_library,numpy/numpy,A,false,exact_pull_request,yes,2,9,4,"CI became green after a NumPy fix; strong first-bad and post-fix evidence.",https://github.com/scikit-learn/scikit-learn/issues/30509;https://github.com/numpy/numpy/pull/27883;https://github.com/numpy/numpy/pull/28043
RADAR-OSINT-011,2026-07-10,uxarray -> scikit-learn nightly wheel pipeline -> Cython,scikit-learn#34458 / #34529,artifact availability and build pipeline failure,"Nightly wheel uploads silently stopped after persistent build failures; a downstream project later opened a duplicate issue.",packaging_or_artifact,"scikit-learn wheel pipeline, with Cython-related build breakage",B,false,partial,yes,3+,14 across canonical and duplicate issues,12,"Demonstrates duplicate/noise reduction and artifact-layer classification value.",https://github.com/scikit-learn/scikit-learn/issues/34458;https://github.com/scikit-learn/scikit-learn/issues/34529
RADAR-OSINT-012,2024-05-08,scikit-learn/scikit-learn,28978,Python 3.13 free-threaded compatibility,"Large mixed failure set included known flakiness, deadlocks and failures that might not be specific to the no-GIL runtime.",unknown,none,C,true,no,partial,multiple scientific Python dependencies,36,204,"Hard challenge set: a safe system must separate flaky, environment-specific and true free-threaded failures.",https://github.com/scikit-learn/scikit-learn/issues/28978;https://github.com/Quansight-Labs/free-threaded-compatibility
