admission_id,case_id,candidate_category,negative_control,negative_control_type,target_split,admission_state,source_urls,gold_status
ADMIT-RADAR-V02-001,RADAR-V02-001,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-002,RADAR-V02-002,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-003,RADAR-V02-003,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-004,RADAR-V02-004,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-005,RADAR-V02-005,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-006,RADAR-V02-006,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-007,RADAR-V02-007,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-008,RADAR-V02-008,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-009,RADAR-V02-009,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-010,RADAR-V02-010,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-011,RADAR-V02-011,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-012,RADAR-V02-012,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-013,RADAR-V02-013,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-014,RADAR-V02-014,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-015,RADAR-V02-015,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-016,RADAR-V02-016,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-017,RADAR-V02-017,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-018,RADAR-V02-018,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-019,RADAR-V02-019,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-020,RADAR-V02-020,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-021,RADAR-V02-021,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-022,RADAR-V02-022,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-023,RADAR-V02-023,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-024,RADAR-V02-024,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-025,RADAR-V02-025,true_upstream_regression,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-026,RADAR-V02-026,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-027,RADAR-V02-027,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-028,RADAR-V02-028,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-029,RADAR-V02-029,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-030,RADAR-V02-030,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-031,RADAR-V02-031,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-032,RADAR-V02-032,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-033,RADAR-V02-033,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-034,RADAR-V02-034,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-035,RADAR-V02-035,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-036,RADAR-V02-036,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-037,RADAR-V02-037,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-038,RADAR-V02-038,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-039,RADAR-V02-039,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-040,RADAR-V02-040,downstream_incompatibility,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-041,RADAR-V02-041,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-042,RADAR-V02-042,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-043,RADAR-V02-043,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-044,RADAR-V02-044,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-045,RADAR-V02-045,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-046,RADAR-V02-046,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-047,RADAR-V02-047,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-048,RADAR-V02-048,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-049,RADAR-V02-049,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-050,RADAR-V02-050,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-051,RADAR-V02-051,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-052,RADAR-V02-052,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-053,RADAR-V02-053,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-054,RADAR-V02-054,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-055,RADAR-V02-055,dependency_transitive_failure,false,none,development,planned,,not_admitted
ADMIT-RADAR-V02-056,RADAR-V02-056,resolution_artifact_failure,true,dead_external_url,development,planned,,not_admitted
ADMIT-RADAR-V02-057,RADAR-V02-057,resolution_artifact_failure,true,github_outage,development,planned,,not_admitted
ADMIT-RADAR-V02-058,RADAR-V02-058,resolution_artifact_failure,true,wheel_missing,development,planned,,not_admitted
ADMIT-RADAR-V02-059,RADAR-V02-059,resolution_artifact_failure,true,dns_failure,development,planned,,not_admitted
ADMIT-RADAR-V02-060,RADAR-V02-060,resolution_artifact_failure,true,worker_crash,development,planned,,not_admitted
ADMIT-RADAR-V02-061,RADAR-V02-061,resolution_artifact_failure,true,random_timeout,development,planned,,not_admitted
ADMIT-RADAR-V02-062,RADAR-V02-062,resolution_artifact_failure,true,known_flaky,development,planned,,not_admitted
ADMIT-RADAR-V02-063,RADAR-V02-063,resolution_artifact_failure,true,baseline_broken,development,planned,,not_admitted
ADMIT-RADAR-V02-064,RADAR-V02-064,resolution_artifact_failure,true,resolver_drift,development,planned,,not_admitted
ADMIT-RADAR-V02-065,RADAR-V02-065,resolution_artifact_failure,true,platform_infrastructure,development,planned,,not_admitted
ADMIT-RADAR-V02-066,RADAR-V02-066,ci_infrastructure_failure,true,expired_certificate,development,planned,,not_admitted
ADMIT-RADAR-V02-067,RADAR-V02-067,ci_infrastructure_failure,true,fixture_disappearance,development,planned,,not_admitted
ADMIT-RADAR-V02-068,RADAR-V02-068,ci_infrastructure_failure,true,incorrect_xfail,development,planned,,not_admitted
ADMIT-RADAR-V02-069,RADAR-V02-069,ci_infrastructure_failure,true,dead_external_url,development,planned,,not_admitted
ADMIT-RADAR-V02-070,RADAR-V02-070,ci_infrastructure_failure,true,github_outage,development,planned,,not_admitted
ADMIT-RADAR-V02-071,RADAR-V02-071,ci_infrastructure_failure,true,wheel_missing,validation,planned,,not_admitted
ADMIT-RADAR-V02-072,RADAR-V02-072,ci_infrastructure_failure,true,dns_failure,validation,planned,,not_admitted
