case_id,candidate_category,difficulty,admission_state,counterfactual
RADAR-V03-GOL-0001,true_upstream_regression,D1,planned,false
RADAR-V03-GOL-0002,true_upstream_regression,D2,planned,false
RADAR-V03-GOL-0003,true_upstream_regression,D3,planned,false
RADAR-V03-GOL-0004,true_upstream_regression,D4,planned,false
RADAR-V03-GOL-0005,true_upstream_regression,D5,planned,false
RADAR-V03-GOL-0006,true_upstream_regression,D1,planned,false
RADAR-V03-GOL-0007,true_upstream_regression,D2,planned,false
RADAR-V03-GOL-0008,true_upstream_regression,D3,planned,false
RADAR-V03-GOL-0009,true_upstream_regression,D4,planned,false
RADAR-V03-GOL-0010,true_upstream_regression,D5,planned,false
RADAR-V03-GOL-0011,true_upstream_regression,D1,planned,false
RADAR-V03-GOL-0012,true_upstream_regression,D2,planned,false
RADAR-V03-GOL-0013,true_upstream_regression,D3,planned,false
RADAR-V03-GOL-0014,true_upstream_regression,D4,planned,false
RADAR-V03-GOL-0015,true_upstream_regression,D5,planned,false
RADAR-V03-GOL-0016,true_upstream_regression,D1,planned,false
RADAR-V03-GOL-0017,true_upstream_regression,D2,planned,false
RADAR-V03-GOL-0018,true_upstream_regression,D3,planned,false
RADAR-V03-GOL-0019,true_upstream_regression,D4,planned,false
RADAR-V03-GOL-0020,true_upstream_regression,D5,planned,false
RADAR-V03-GOL-0021,expected_breaking_change,D1,planned,false
RADAR-V03-GOL-0022,expected_breaking_change,D2,planned,false
RADAR-V03-GOL-0023,expected_breaking_change,D3,planned,false
RADAR-V03-GOL-0024,expected_breaking_change,D4,planned,false
RADAR-V03-GOL-0025,expected_breaking_change,D5,planned,false
RADAR-V03-GOL-0026,expected_breaking_change,D1,planned,false
RADAR-V03-GOL-0027,expected_breaking_change,D2,planned,false
RADAR-V03-GOL-0028,expected_breaking_change,D3,planned,false
RADAR-V03-GOL-0029,expected_breaking_change,D4,planned,false
RADAR-V03-GOL-0030,expected_breaking_change,D5,planned,false
RADAR-V03-GOL-0031,expected_breaking_change,D1,planned,false
RADAR-V03-GOL-0032,expected_breaking_change,D2,planned,false
RADAR-V03-GOL-0033,expected_breaking_change,D3,planned,false
RADAR-V03-GOL-0034,expected_breaking_change,D4,planned,false
RADAR-V03-GOL-0035,expected_breaking_change,D5,planned,false
RADAR-V03-GOL-0036,expected_breaking_change,D1,planned,false
RADAR-V03-GOL-0037,expected_breaking_change,D2,planned,false
RADAR-V03-GOL-0038,expected_breaking_change,D3,planned,false
RADAR-V03-GOL-0039,expected_breaking_change,D4,planned,false
RADAR-V03-GOL-0040,expected_breaking_change,D5,planned,false
RADAR-V03-GOL-0041,downstream_incompatibility,D1,planned,false
RADAR-V03-GOL-0042,downstream_incompatibility,D2,planned,false
