case_id,candidate_category,difficulty,admission_state,counterfactual
RADAR-V03-SAF-1001,negative_control,D1,planned,false
RADAR-V03-SAF-1002,negative_control,D2,planned,false
RADAR-V03-SAF-1003,negative_control,D3,planned,false
RADAR-V03-SAF-1004,negative_control,D4,planned,false
RADAR-V03-SAF-1005,negative_control,D5,planned,false
RADAR-V03-SAF-1006,negative_control,D1,planned,false
RADAR-V03-SAF-1007,negative_control,D2,planned,false
RADAR-V03-SAF-1008,negative_control,D3,planned,false
RADAR-V03-SAF-1009,negative_control,D4,planned,false
RADAR-V03-SAF-1010,negative_control,D5,planned,false
RADAR-V03-SAF-1011,negative_control,D1,planned,false
RADAR-V03-SAF-1012,negative_control,D2,planned,false
RADAR-V03-SAF-1013,negative_control,D3,planned,false
RADAR-V03-SAF-1014,negative_control,D4,planned,false
RADAR-V03-SAF-1015,negative_control,D5,planned,false
RADAR-V03-SAF-1016,negative_control,D1,planned,false
RADAR-V03-SAF-1017,negative_control,D2,planned,false
RADAR-V03-SAF-1018,negative_control,D3,planned,false
RADAR-V03-SAF-1019,negative_control,D4,planned,false
RADAR-V03-SAF-1020,negative_control,D5,planned,false
RADAR-V03-SAF-1021,confounded_change,D1,planned,false
RADAR-V03-SAF-1022,confounded_change,D2,planned,false
RADAR-V03-SAF-1023,confounded_change,D3,planned,false
RADAR-V03-SAF-1024,confounded_change,D4,planned,false
RADAR-V03-SAF-1025,confounded_change,D5,planned,false
RADAR-V03-SAF-1026,confounded_change,D1,planned,false
RADAR-V03-SAF-1027,confounded_change,D2,planned,false
RADAR-V03-SAF-1028,confounded_change,D3,planned,false
RADAR-V03-SAF-1029,confounded_change,D4,planned,false
RADAR-V03-SAF-1030,confounded_change,D5,planned,false
RADAR-V03-SAF-1031,confounded_change,D1,planned,false
RADAR-V03-SAF-1032,confounded_change,D2,planned,false
RADAR-V03-SAF-1033,confounded_change,D3,planned,false
RADAR-V03-SAF-1034,confounded_change,D4,planned,false
RADAR-V03-SAF-1035,confounded_change,D5,planned,false
RADAR-V03-SAF-1036,confounded_change,D1,planned,false
RADAR-V03-SAF-1037,confounded_change,D2,planned,false
RADAR-V03-SAF-1038,confounded_change,D3,planned,false
RADAR-V03-SAF-1039,confounded_change,D4,planned,false
RADAR-V03-SAF-1040,confounded_change,D5,planned,false
RADAR-V03-SAF-1041,confounded_change,D1,planned,false
RADAR-V03-SAF-1042,confounded_change,D2,planned,false
RADAR-V03-SAF-1043,confounded_change,D3,planned,false
RADAR-V03-SAF-1044,confounded_change,D4,planned,false
RADAR-V03-SAF-1045,confounded_change,D5,planned,false
RADAR-V03-SAF-1046,confounded_change,D1,planned,false
RADAR-V03-SAF-1047,confounded_change,D2,planned,false
RADAR-V03-SAF-1048,confounded_change,D3,planned,false
RADAR-V03-SAF-1049,confounded_change,D4,planned,false
RADAR-V03-SAF-1050,confounded_change,D5,planned,false
RADAR-V03-SAF-1051,flaky_nondeterministic,D1,planned,false
